company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
G A I L (India) Ltd.,2007-12-31 00:00:00,67.76,845651600,3,2007,43252.8,38071.7,6213.2,2008-01-31 00:00:00,0,GAIL,,
Reliance Industries Ltd.,2008-03-31 00:00:00,560.79,1453648601,4,2007,372860,324310,39120,2008-04-21 00:00:00,1,Reliance,,
G A I L (India) Ltd.,2008-03-31 00:00:00,53.11,845651600,4,2007,49430.7,43947,7223.8,2008-05-13 00:00:00,0,GAIL,,
Indian Oil Corpn. Ltd.,2008-03-31 00:00:00,37.13,1192374306,4,2007,720044.9,736698.2,-4142.7,2008-05-28 00:00:00,0,IOC,,
Power Grid Corpn. Of India Ltd.,2008-03-31 00:00:00,73.46,4208841230,4,2007,15591.8,13086.6,4200.7,2008-05-29 00:00:00,0,powerGrid,,
N T P C Ltd.,2008-03-31 00:00:00,164.17,8245464400,4,2007,111842.9,101480.2,13394.8,2008-05-29 00:00:00,0,NTPC,,
Tata Power Co. Ltd.,2008-03-31 00:00:00,113.09,220700162,4,2007,16344.7,16178.5,2249.9,2008-06-06 00:00:00,0,tataPower,,
Oil & Natural Gas Corpn. Ltd.,2008-03-31 00:00:00,163.56,2138872530,4,2007,156992.1,149950.1,26271,2008-06-25 00:00:00,0,ONGC,,
Reliance Industries Ltd.,2008-06-30 00:00:00,518.38,1453648601,1,2008,415790,403020,41100,2008-07-24 00:00:00,1,Reliance,,
Tata Power Co. Ltd.,2008-06-30 00:00:00,101.64,220854121,1,2008,20261.3,19227.8,1905.5,2008-07-25 00:00:00,0,tataPower,,
Oil & Natural Gas Corpn. Ltd.,2008-06-30 00:00:00,135.78,2138872530,1,2008,202268.8,145032.5,66363.3,2008-07-28 00:00:00,0,ONGC,,
G A I L (India) Ltd.,2008-06-30 00:00:00,41.62,845651600,1,2008,57382.2,49200.3,8968.7,2008-07-29 00:00:00,0,GAIL,,
N T P C Ltd.,2008-06-30 00:00:00,126.37,8245464400,1,2008,98956.9,85301.7,17265.3,2008-07-29 00:00:00,0,NTPC,,
Power Grid Corpn. Of India Ltd.,2008-06-30 00:00:00,58.31,4208841230,1,2008,13608.3,11528,3056.9,2008-07-30 00:00:00,0,powerGrid,,
Indian Oil Corpn. Ltd.,2008-06-30 00:00:00,27.69,1192374306,1,2008,885889.6,919172.8,4151.3,2008-07-30 00:00:00,0,IOC,,
G A I L (India) Ltd.,2008-09-30 00:00:00,50.98,845651600,2,2008,61726.1,54082.4,10234.5,2008-10-23 00:00:00,1,GAIL,,
Reliance Industries Ltd.,2008-09-30 00:00:00,482,1453787556,2,2008,446880,423060,41160,2008-10-23 00:00:00,0,Reliance,,
