Company Name|Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding 
Bajaj Finance Ltd.|31-03-2000|3.03|16490200.00|30-06-2000|2.76|16490200.00|29-09-2000|2.67|16490200.00|29-12-2000|2.57|16490200.00|30-03-2001|2.47|16490200.00|29-06-2001|2.62|16490200.00|28-09-2001|2.31|16490200.00|28-12-2001|2.93|16490200.00|28-03-2002|4.18|16490200.00|28-06-2002|5.29|16490200.00|30-09-2002|4.42|16490200.00|31-12-2002|4.22|16490200.00|31-03-2003|4.14|16490200.00|30-06-2003|5.44|16490200.00|30-09-2003|5.65|16490200.00|31-12-2003|8.19|16490200.00|31-03-2004|6.79|16490200.00|30-06-2004|7.59|16490200.00|30-09-2004|9.30|16490200.00|31-12-2004|11.47|16490200.00|31-03-2005|14.80|16490200.00|30-06-2005|24.88|16490200.00|30-09-2005|32.15|16490200.00|30-12-2005|39.30|16490200.00|31-03-2006|47.12|20993460.00|30-06-2006|36.43|20993460.00|29-09-2006|34.66|20993460.00|29-12-2006|35.67|33589536.00|30-03-2007|41.08|35348136.00|29-06-2007|36.60|35348136.00|28-09-2007|35.31|36596076.00|31-12-2007|42.63|36596076.00|31-03-2008|32.04|36596076.00|30-06-2008|13.44|36596076.00|30-09-2008|11.06|36596076.00|31-12-2008|6.31|36596076.00|31-03-2009|6.66|36596076.00|30-06-2009|14.83|36596076.00|30-09-2009|23.17|36596076.00|31-12-2009|32.03|36596076.00|31-03-2010|30.94|36596076.00|30-06-2010|46.14|36596076.00|30-09-2010|74.95|36596076.00|31-12-2010|68.37|36629076.00|31-03-2011|67.86|36629076.00|30-06-2011|59.24|36629076.00|30-09-2011|61.52|36629076.00|30-12-2011|58.31|36629076.00|30-03-2012|79.23|41319076.00|29-06-2012|88.52|41319076.00|28-09-2012|114.20|41394076.00|31-12-2012|131.83|42814076.00|28-03-2013|115.44|49778334.00|28-06-2013|137.64|49778334.00|30-09-2013|116.93|49778334.00|31-12-2013|157.43|49778334.00|31-03-2014|179.01|50142334.00|30-06-2014|200.11|50142334.00|30-09-2014|271.10|50142334.00|31-12-2014|348.14|50147259.00|31-03-2015|409.63|50147259.00|30-06-2015|545.66|53632775.00|30-09-2015|509.78|53632775.00|31-12-2015|601.32|53632775.00|31-03-2016|692.92|53872190.00|30-06-2016|798.91|53872190.00|30-09-2016|1056.60|538721900.00|30-12-2016|839.25|547971900.00|31-03-2017|1174.10|549890090.00|30-06-2017|1374.20|549890090.00|29-09-2017|1834.95|576517308.00|29-12-2017|1756.80|576517308.00|28-03-2018|1769.75|577968388.00|29-06-2018|2296.95|577968388.00|28-09-2018|2167.40|577968388.00|31-12-2018|2641.15|577968388.00|29-03-2019|3024.85|577968388.00|28-06-2019|3682.30|579894198.00|30-09-2019|4050.15|579894198.00|31-12-2019|4235.10|601689069.00|31-03-2020|2216.05|601689069.00|30-06-2020|2828.90|601739069.00|30-09-2020|3277.25|602587339.00|31-12-2020|5296.00|602587339.00|31-03-2021|5148.90|602587339.00|30-06-2021|6016.15|603594345.00|30-09-2021|7670.70|603594345.00|31-12-2021|6976.90|603594345.00|31-03-2022|7259.10|605429233.00
Bajaj Finserv Ltd.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||30-06-2008|52.79|144683510.00|30-09-2008|37.73|144683510.00|31-12-2008|14.59|144683510.00|31-03-2009|16.50|144683510.00|30-06-2009|38.45|144683510.00|30-09-2009|27.31|144683510.00|31-12-2009|33.94|144683510.00|31-03-2010|32.86|144683510.00|30-06-2010|42.80|144683510.00|30-09-2010|52.27|144683510.00|31-12-2010|45.58|144683510.00|31-03-2011|51.55|144683510.00|30-06-2011|50.41|144683510.00|30-09-2011|51.58|144683510.00|30-12-2011|42.34|144683510.00|30-03-2012|60.07|144683510.00|29-06-2012|67.08|144683510.00|28-09-2012|87.08|159122352.00|31-12-2012|90.19|159122352.00|28-03-2013|76.92|159122352.00|28-06-2013|64.27|159122352.00|30-09-2013|60.60|159122352.00|31-12-2013|74.20|159122352.00|31-03-2014|79.02|159122352.00|30-06-2014|93.55|159122352.00|30-09-2014|112.95|159125184.00|31-12-2014|131.15|159125184.00|31-03-2015|138.95|159125184.00|30-06-2015|152.60|159125184.00|30-09-2015|173.11|159125184.00|31-12-2015|198.68|159131453.00|31-03-2016|170.38|159131453.00|30-06-2016|231.89|159131453.00|30-09-2016|307.39|159131780.00|30-12-2016|289.42|159131780.00|31-03-2017|408.78|159131780.00|30-06-2017|411.60|159131780.00|29-09-2017|514.66|159131780.00|29-12-2017|523.84|159135097.00|28-03-2018|517.86|159135097.00|29-06-2018|581.87|159135097.00|28-09-2018|598.87|159136111.00|31-12-2018|648.13|159136111.00|29-03-2019|703.55|159136111.00|28-06-2019|853.78|159136111.00|30-09-2019|850.93|159137290.00|31-12-2019|938.86|159137290.00|31-03-2020|458.98|159137290.00|30-06-2020|584.03|159137290.00|30-09-2020|585.10|159137444.00|31-12-2020|890.45|159137444.00|31-03-2021|966.78|159137444.00|30-06-2021|1211.66|159137444.00|30-09-2021|1778.85|159137444.00|31-12-2021|1639.02|159137444.00|31-03-2022|1705.22|159137444.00
Bank Of Baroda|31-03-2000|9.07|296000000.00|30-06-2000|8.46|296000000.00|29-09-2000|8.00|296000000.00|29-12-2000|9.09|296000000.00|30-03-2001|12.07|296000000.00|29-06-2001|11.20|296000000.00|28-09-2001|7.31|296000000.00|31-12-2001|8.27|296000000.00|28-03-2002|9.59|296000000.00|28-06-2002|12.72|296000000.00|30-09-2002|8.87|296000000.00|31-12-2002|15.29|296000000.00|31-03-2003|17.18|296000000.00|30-06-2003|22.32|296000000.00|30-09-2003|30.19|293265400.00|31-12-2003|46.78|293265400.00|31-03-2004|48.54|293265400.00|30-06-2004|30.02|293265400.00|30-09-2004|33.80|293265400.00|31-12-2004|48.05|293265400.00|31-03-2005|43.61|293265400.00|30-06-2005|39.26|293265400.00|30-09-2005|49.79|293265400.00|30-12-2005|48.17|293265500.00|31-03-2006|46.06|364265500.00|30-06-2006|39.76|364265500.00|29-09-2006|57.65|364265500.00|29-12-2006|47.98|364265900.00|30-03-2007|43.08|364266000.00|29-06-2007|54.05|364266000.00|28-09-2007|65.32|364266400.00|31-12-2007|91.92|364266400.00|31-03-2008|56.78|364266400.00|30-06-2008|40.65|364266400.00|30-09-2008|59.51|364266500.00|31-12-2008|56.09|364266500.00|31-03-2009|46.91|364266500.00|30-06-2009|89.06|364266500.00|30-09-2009|96.48|364266500.00|31-12-2009|102.26|364266500.00|31-03-2010|127.85|364266500.00|30-06-2010|140.39|364266500.00|30-09-2010|174.56|364266500.00|31-12-2010|179.30|364266500.00|31-03-2011|192.63|391546079.00|30-06-2011|174.38|391546079.00|30-09-2011|152.77|391546079.00|30-12-2011|132.17|391546079.00|30-03-2012|158.73|411123383.00|29-06-2012|146.50|411123383.00|28-09-2012|159.71|411123383.00|31-12-2012|173.39|411123383.00|28-03-2013|135.56|421256303.00|28-06-2013|114.90|421256303.00|30-09-2013|98.72|421256303.00|31-12-2013|129.15|421256303.00|31-03-2014|144.27|429415087.00|30-06-2014|175.43|429415087.00|30-09-2014|180.50|429415087.00|31-12-2014|216.90|429415087.00|31-03-2015|163.30|2211495906.00|30-06-2015|144.20|2211495906.00|30-09-2015|183.30|2304159598.00|31-12-2015|156.75|2304159598.00|31-03-2016|147.10|2304159598.00|30-06-2016|154.00|2304159598.00|30-09-2016|167.30|2304159598.00|30-12-2016|152.85|2304159598.00|31-03-2017|172.95|2304159598.00|30-06-2017|161.10|2304159598.00|29-09-2017|137.50|2304159598.00|29-12-2017|160.50|2304159598.00|28-03-2018|142.20|2645516132.00|29-06-2018|112.80|2645516132.00|28-09-2018|99.40|2645516132.00|31-12-2018|118.85|2645516132.00|29-03-2019|128.80|2645516132.00|28-06-2019|121.85|3846727356.00|30-09-2019|93.05|3846727356.00|31-12-2019|101.90|4620566586.00|31-03-2020|53.55|4620566586.00|30-06-2020|48.60|4620566586.00|30-09-2020|41.05|4620566586.00|31-12-2020|61.50|4620566586.00|31-03-2021|74.15|5171362179.00|30-06-2021|85.95|5171362179.00|30-09-2021|81.75|5171362179.00|31-12-2021|81.95|5171362179.00|31-03-2022|111.60|5171362179.00
Canara Bank||||||||||||||||||||||||||||||||||31-12-2002|48.29|410000000.00|31-03-2003|69.25|410000000.00|30-06-2003|92.74|410000000.00|30-09-2003|119.20|410000000.00|31-12-2003|132.67|410000000.00|31-03-2004|140.65|410000000.00|30-06-2004|117.55|410000000.00|30-09-2004|150.72|410000000.00|31-12-2004|206.79|410000000.00|31-03-2005|194.92|410000000.00|30-06-2005|205.14|410000000.00|30-09-2005|225.61|410000000.00|30-12-2005|233.98|410000000.00|31-03-2006|259.61|410000000.00|30-06-2006|195.31|410000000.00|29-09-2006|276.39|410000000.00|29-12-2006|268.65|410000000.00|30-03-2007|189.38|410000000.00|29-06-2007|262.28|410000000.00|28-09-2007|270.60|410000000.00|31-12-2007|322.98|410000000.00|31-03-2008|219.05|410000000.00|30-06-2008|173.14|410000000.00|30-09-2008|183.59|410000000.00|31-12-2008|182.67|410000000.00|31-03-2009|161.37|410000000.00|30-06-2009|255.28|410000000.00|30-09-2009|312.96|410000000.00|31-12-2009|380.07|410000000.00|31-03-2010|399.14|410000000.00|30-06-2010|436.59|410000000.00|30-09-2010|566.73|410000000.00|31-12-2010|642.36|410000000.00|31-03-2011|609.04|443000000.00|30-06-2011|509.97|443000000.00|30-09-2011|431.63|443000000.00|30-12-2011|353.67|443000000.00|30-03-2012|460.71|443000000.00|29-06-2012|401.13|443000000.00|28-09-2012|419.37|443000000.00|31-12-2012|481.96|443000000.00|28-03-2013|373.95|443000000.00|28-06-2013|350.50|443000000.00|30-09-2013|215.30|443000000.00|31-12-2013|274.44|461258837.00|31-03-2014|257.13|461258837.00|30-06-2014|449.57|461258837.00|30-09-2014|340.68|461258837.00|31-12-2014|436.54|461258837.00|31-03-2015|357.85|475196971.00|30-06-2015|270.36|515196971.00|30-09-2015|272.06|542991054.00|31-12-2015|227.27|542991054.00|31-03-2016|184.66|542991054.00|30-06-2016|212.48|542991054.00|30-09-2016|299.92|542991054.00|30-12-2016|255.67|542991054.00|31-03-2017|303.00|597290159.00|30-06-2017|329.00|597290159.00|29-09-2017|308.05|597290159.00|29-12-2017|360.90|597290159.00|28-03-2018|264.25|733244775.00|29-06-2018|251.60|733244775.00|28-09-2018|220.85|733244775.00|31-12-2018|275.00|733244775.00|29-03-2019|291.95|753244775.00|28-06-2019|284.40|753244775.00|30-09-2019|182.30|753244775.00|31-12-2019|221.30|1030233351.00|31-03-2020|90.40|1030233351.00|30-06-2020|100.60|1453501506.00|30-09-2020|88.90|1453501506.00|31-12-2020|128.95|1646738220.00|31-03-2021|152.25|1646738220.00|30-06-2021|151.85|1646738220.00|30-09-2021|173.00|1814130252.00|31-12-2021|199.90|1814130252.00|31-03-2022|227.60|1814130252.00
H D F C Bank Ltd.|31-03-2000|25.60|243278261.00|30-06-2000|25.43|243278261.00|29-09-2000|24.09|243278261.00|29-12-2000|22.25|243278261.00|30-03-2001|23.00|243278261.00|29-06-2001|21.06|243596261.00|28-09-2001|21.77|281205413.00|31-12-2001|22.47|281329613.00|28-03-2002|23.52|281374613.00|28-06-2002|20.16|281792313.00|30-09-2002|21.90|281909013.00|31-12-2002|21.90|282009613.00|31-03-2003|23.38|282045713.00|30-06-2003|25.90|283152213.00|30-09-2003|27.52|283481013.00|31-12-2003|36.66|283897413.00|31-03-2004|37.84|284791713.00|30-06-2004|36.97|285843813.00|30-09-2004|40.29|286232913.00|31-12-2004|51.89|286542813.00|31-03-2005|54.43|309875308.00|30-06-2005|63.41|311253408.00|30-09-2005|68.75|311934108.00|30-12-2005|70.75|312181308.00|31-03-2006|77.35|313142408.00|30-06-2006|79.12|313849908.00|29-09-2006|92.60|314374808.00|29-12-2006|106.98|315149408.00|30-03-2007|94.94|319389608.00|29-06-2007|114.41|333187008.00|28-09-2007|143.91|353451920.00|31-12-2007|172.78|354075320.00|31-03-2008|132.00|354432920.00|30-06-2008|100.23|424616776.00|30-09-2008|122.90|425029476.00|31-12-2008|99.76|425144428.00|31-03-2009|96.79|425384109.00|30-06-2009|149.18|426183266.00|30-09-2009|164.23|427357524.00|31-12-2009|170.04|455236564.00|31-03-2010|193.25|457743272.00|30-06-2010|191.47|459690703.00|30-09-2010|248.08|462604850.00|31-12-2010|234.65|464329961.00|31-03-2011|234.29|465225684.00|30-06-2011|250.26|466771136.00|30-09-2011|233.63|2338312130.00|30-12-2011|213.53|2341315020.00|30-03-2012|260.02|2346688270.00|29-06-2012|281.75|2355919375.00|28-09-2012|314.35|2361698240.00|31-12-2012|339.40|2368065465.00|28-03-2013|312.05|2379419030.00|28-06-2013|334.25|2388142230.00|30-09-2013|296.85|2391248160.00|31-12-2013|332.88|2394593545.00|31-03-2014|374.43|2399050435.00|30-06-2014|410.68|2407696255.00|30-09-2014|435.75|2414322155.00|31-12-2014|476.00|2417407625.00|31-03-2015|511.43|2506495317.00|30-06-2015|533.73|2511458217.00|30-09-2015|534.45|2518193217.00|31-12-2015|541.38|2525086417.00|31-03-2016|535.60|2528186517.00|30-06-2016|587.95|2535052017.00|30-09-2016|635.85|2545633717.00|30-12-2016|602.10|2555374117.00|31-03-2017|721.15|2562545717.00|30-06-2017|826.13|2573883317.00|29-09-2017|901.52|2583996617.00|29-12-2017|936.77|2590123617.00|28-03-2018|945.73|2595090267.00|29-06-2018|1054.03|2604157867.00|28-09-2018|1002.83|2717176187.00|31-12-2018|1061.22|2719501383.00|29-03-2019|1158.25|2723306610.00|28-06-2019|1223.20|2732812271.00|30-09-2019|1227.35|5470763894.00|31-12-2019|1271.80|5477027068.00|31-03-2020|862.00|5483286460.00|30-06-2020|1065.70|5490278560.00|30-09-2020|1079.20|5503704156.00|31-12-2020|1436.75|5507656932.00|31-03-2021|1493.55|5512776482.00|30-06-2021|1498.05|5526719098.00|30-09-2021|1595.50|5537451890.00|31-12-2021|1479.80|5542399476.00|31-03-2022|1469.95|5545540976.00
Housing Development Finance Corpn. Ltd.|31-03-2000|38.14|119114000.00|30-06-2000|55.91|119114000.00|29-09-2000|43.54|119114000.00|29-12-2000|54.19|119114000.00|30-03-2001|54.49|120086798.00|29-06-2001|68.95|120086798.00|28-09-2001|62.50|120287181.00|31-12-2001|66.30|120415184.00|28-03-2002|68.46|121713941.00|28-06-2002|65.13|121713941.00|30-09-2002|60.14|121868283.00|31-12-2002|71.64|243921426.00|31-03-2003|66.34|244414492.00|30-06-2003|81.83|244414492.00|30-09-2003|99.81|244826433.00|31-12-2003|128.87|245136589.00|31-03-2004|128.82|246617121.00|30-06-2004|103.43|246617121.00|30-09-2004|121.96|246724228.00|31-12-2004|153.22|247703418.00|31-03-2005|145.32|249120732.00|30-06-2005|176.79|249120732.00|30-09-2005|207.93|249286303.00|30-12-2005|241.07|249332329.00|31-03-2006|267.21|249563933.00|30-06-2006|226.00|249563933.00|29-09-2006|306.86|249578606.00|29-12-2006|324.91|250051225.00|30-03-2007|304.07|253006607.00|29-06-2007|406.04|253006607.00|28-09-2007|505.45|271551427.00|31-12-2007|574.49|281570039.00|31-03-2008|476.75|284037985.00|30-06-2008|392.48|284210170.00|30-09-2008|428.23|284231755.00|31-12-2008|297.51|284448366.00|31-03-2009|282.24|284453910.00|30-06-2009|469.08|284560354.00|30-09-2009|555.36|284905462.00|31-12-2009|535.57|285855267.00|31-03-2010|542.57|287110222.00|30-06-2010|588.20|290951303.00|30-09-2010|730.00|1460129450.00|31-12-2010|727.95|1464363840.00|31-03-2011|698.90|1466886690.00|30-06-2011|703.85|1469930700.00|30-09-2011|639.25|1472215960.00|30-12-2011|649.45|1474171910.00|30-03-2012|673.60|1476970010.00|29-06-2012|654.45|1488633330.00|28-09-2012|772.90|1538893440.00|31-12-2012|828.10|1540984385.00|28-03-2013|825.75|1546347255.00|28-06-2013|872.90|1554131425.00|30-09-2013|763.55|1558160055.00|31-12-2013|796.30|1559248440.00|31-03-2014|883.80|1560532605.00|30-06-2014|990.65|1566949470.00|30-09-2014|1052.60|1568862770.00|31-12-2014|1135.00|1572060365.00|31-03-2015|1311.25|1574697670.00|30-06-2015|1296.45|1576030605.00|30-09-2015|1213.25|1577684750.00|31-12-2015|1262.65|1578733220.00|31-03-2016|1105.55|1579846340.00|30-06-2016|1252.70|1582052040.00|30-09-2016|1393.05|1583983690.00|30-12-2016|1262.45|1585088925.00|31-03-2017|1502.40|1588672140.00|30-06-2017|1616.35|1592899780.00|29-09-2017|1740.70|1595100945.00|29-12-2017|1710.40|1597597695.00|28-03-2018|1824.40|1675879893.00|29-06-2018|1907.35|1683633848.00|28-09-2018|1755.50|1696588252.00|31-12-2018|1970.00|1719471258.00|29-03-2019|1967.30|1721437390.00|28-06-2019|2192.05|1725306237.00|30-09-2019|1976.60|1726695111.00|31-12-2019|2413.45|1729027666.00|31-03-2020|1630.45|1732051189.00|30-06-2020|1754.65|1734608807.00|30-09-2020|1739.30|1795805932.00|31-12-2020|2558.60|1800195902.00|31-03-2021|2498.95|1803946433.00|30-06-2021|2474.25|1805753249.00|30-09-2021|2754.60|1808209833.00|31-12-2021|2586.85|1811011813.00|31-03-2022|2388.65|1813028276.00
I C I C I Bank Ltd.|31-03-2000|47.27|196818880.00|30-06-2000|38.45|196818880.00|29-09-2000|27.54|196818880.00|29-12-2000|27.37|196818880.00|30-03-2001|30.07|196818880.00|29-06-2001|23.25|220358680.00|28-09-2001|12.99|220358680.00|31-12-2001|16.00|220358680.00|28-03-2002|22.55|220358680.00|28-06-2002|24.98|613031404.00|30-09-2002|25.48|613031404.00|31-12-2002|25.55|613034404.00|31-03-2003|24.35|613034404.00|30-06-2003|27.31|613035974.00|30-09-2003|37.15|613425469.00|31-12-2003|53.76|615227617.00|31-03-2004|53.80|616391905.00|30-06-2004|44.44|733897857.00|30-09-2004|52.01|734728679.00|31-12-2004|67.41|735928149.00|31-03-2005|71.45|736716094.00|30-06-2005|76.65|739018438.00|30-09-2005|109.15|740881117.00|30-12-2005|106.31|875103014.00|31-03-2006|107.14|889823901.00|30-06-2006|88.62|891895485.00|29-09-2006|127.10|892895861.00|29-12-2006|161.89|893833627.00|30-03-2007|155.11|899099750.00|29-06-2007|173.69|1011610904.00|28-09-2007|193.30|1111912138.00|31-12-2007|224.07|1112540798.00|31-03-2008|140.02|1112687495.00|30-06-2008|114.58|1113092261.00|30-09-2008|97.25|1113249042.00|31-12-2008|81.52|1113250642.00|31-03-2009|60.47|1113250642.00|30-06-2009|131.27|1113324087.00|30-09-2009|164.51|1113564145.00|31-12-2009|159.22|1114131968.00|31-03-2010|173.22|1114845314.00|30-06-2010|156.73|1115458683.00|30-09-2010|201.88|1147919537.00|31-12-2010|208.12|1151422189.00|31-03-2011|202.32|1151772372.00|30-06-2011|198.75|1152129421.00|30-09-2011|159.15|1152412079.00|30-12-2011|124.47|1152564657.00|30-03-2012|161.32|1152714442.00|29-06-2012|163.56|1152874294.00|28-09-2012|192.23|1153027642.00|31-12-2012|206.78|1153303032.00|28-03-2013|190.06|1153581715.00|28-06-2013|194.50|1154054737.00|30-09-2013|160.90|1154394745.00|31-12-2013|199.72|1154535873.00|31-03-2014|226.45|1154832769.00|30-06-2014|257.90|1156011729.00|30-09-2014|260.95|1157252235.00|31-12-2014|320.91|5791523320.00|31-03-2015|286.64|5797244645.00|30-06-2015|280.00|5804014135.00|30-09-2015|245.68|5807681135.00|31-12-2015|237.68|5812184730.00|31-03-2016|215.05|5814768430.00|30-06-2016|218.36|5816921980.00|30-09-2016|229.36|5818976105.00|30-12-2016|232.09|5820605280.00|31-03-2017|251.91|5824476135.00|30-06-2017|290.10|6412829984.00|29-09-2017|276.95|6416844177.00|29-12-2017|314.00|6422311826.00|28-03-2018|278.40|6427803162.00|29-06-2018|275.50|6431732828.00|28-09-2018|305.00|6435132059.00|31-12-2018|360.00|6440817054.00|29-03-2019|398.85|6446239653.00|28-06-2019|437.25|6452596296.00|30-09-2019|433.40|6459674956.00|31-12-2019|538.75|6469353972.00|31-03-2020|324.50|6472765203.00|30-06-2020|351.45|6475980400.00|30-09-2020|354.90|6896223149.00|31-12-2020|534.80|6903693527.00|31-03-2021|581.25|6915992387.00|30-06-2021|630.85|6925037357.00|30-09-2021|700.80|6934409997.00|31-12-2021|740.25|6943351843.00|31-03-2022|730.25|6948771375.00
Kotak Mahindra Bank Ltd.|31-03-2000|5.75|45912500.00|30-06-2000|3.63|45912500.00|29-09-2000|3.54|45912500.00|29-12-2000|3.71|45912500.00|30-03-2001|2.91|59212750.00|29-06-2001|2.40|59212750.00|28-09-2001|2.00|59212750.00|31-12-2001|2.53|59212750.00|28-03-2002|7.13|59212750.00|28-06-2002|8.12|59212750.00|30-09-2002|7.71|59212750.00|31-12-2002|8.62|59212750.00|31-03-2003|7.90|59212750.00|30-06-2003|7.99|59212750.00|30-09-2003|13.59|59212750.00|31-12-2003|19.22|59522750.00|31-03-2004|20.21|59532750.00|30-06-2004|17.38|59532750.00|30-09-2004|18.23|119789500.00|31-12-2004|28.43|119945500.00|31-03-2005|34.05|123323500.00|30-06-2005|39.16|123323500.00|30-09-2005|49.84|308358750.00|30-12-2005|55.95|309092750.00|31-03-2006|69.50|309294625.00|30-06-2006|60.67|324730203.00|29-09-2006|82.95|325046311.00|29-12-2006|99.85|325933611.00|30-03-2007|119.91|326155708.00|29-06-2007|168.13|326428115.00|28-09-2007|230.41|326950052.00|31-12-2007|324.05|344211337.00|31-03-2008|157.14|344672842.00|30-06-2008|115.30|345047721.00|30-09-2008|138.70|345341251.00|31-12-2008|89.33|345473542.00|31-03-2009|70.74|345668859.00|30-06-2009|158.03|346298272.00|30-09-2009|194.03|346777379.00|31-12-2009|200.53|347695925.00|31-03-2010|187.26|348141477.00|30-06-2010|192.70|348594399.00|30-09-2010|237.95|733406704.00|31-12-2010|226.22|736301330.00|31-03-2011|228.43|736871504.00|30-06-2011|240.10|737810369.00|30-09-2011|229.82|738647472.00|30-12-2011|216.13|739567213.00|30-03-2012|271.23|740689510.00|29-06-2012|296.13|742475882.00|28-09-2012|323.95|743307494.00|31-12-2012|324.80|744193105.00|28-03-2013|325.70|746374517.00|28-06-2013|360.63|767251207.00|30-09-2013|338.70|768243055.00|31-12-2013|364.52|769117006.00|31-03-2014|389.00|770311001.00|30-06-2014|442.57|770467156.00|30-09-2014|506.73|771334557.00|31-12-2014|631.58|771729618.00|31-03-2015|656.58|772352664.00|30-06-2015|693.88|912841920.00|30-09-2015|648.85|1830512584.00|31-12-2015|718.55|1832499206.00|31-03-2016|681.00|1834382158.00|30-06-2016|763.10|1835574980.00|30-09-2016|778.75|1837288329.00|30-12-2016|719.05|1839261817.00|31-03-2017|872.10|1840897877.00|30-06-2017|955.45|1903500911.00|29-09-2017|1001.90|1904004302.00|29-12-2017|1009.10|1904703780.00|28-03-2018|1048.60|1905648506.00|29-06-2018|1341.80|1906131883.00|28-09-2018|1143.50|1907004130.00|31-12-2018|1254.75|1907544110.00|29-03-2019|1335.75|1908705503.00|28-06-2019|1476.60|1909336730.00|30-09-2019|1644.35|1910028300.00|31-12-2019|1684.50|1911034957.00|31-03-2020|1296.35|1913038338.00|30-06-2020|1359.80|1978804377.00|30-09-2020|1268.15|1979207809.00|31-12-2020|1995.40|1980478721.00|31-03-2021|1754.00|1981835668.00|30-06-2021|1706.40|1982675781.00|30-09-2021|2004.10|1983087703.00|31-12-2021|1796.30|1983899969.00|31-03-2022|1754.70|1984661760.00
